,shape_id,shape_pt_sequence,elevation
2369,60-1-d12-1.3.I,65,4
2370,60-1-d12-1.3.I,66,4
2371,60-1-d12-1.3.I,67,4
2372,60-1-d12-1.3.I,68,5
2373,60-1-d12-1.3.I,69,8
2374,60-1-d12-1.3.I,70,8
2375,60-1-d12-1.3.I,71,8
2376,60-1-d12-1.3.I,72,8
2377,60-1-d12-1.3.I,73,6
2378,60-1-d12-1.3.I,74,6
2379,60-1-d12-1.3.I,75,7
2380,60-1-d12-1.3.I,76,4
2381,60-1-d12-1.3.I,77,4
2382,60-1-d12-1.3.I,78,6
2383,60-1-d12-1.3.I,79,6
2384,60-1-d12-1.3.I,80,6
2385,60-1-d12-1.3.I,81,7
2386,60-1-d12-1.3.I,82,5
2387,60-1-d12-1.3.I,83,5
2388,60-1-d12-1.3.I,84,5
2389,60-1-d12-1.3.I,85,10
2390,60-1-d12-1.3.I,86,12
2391,60-1-d12-1.3.I,87,10
2392,60-1-d12-1.3.I,88,8
2393,60-1-d12-1.3.I,89,10
2394,60-1-d12-1.3.I,90,10
2395,60-1-d12-1.3.I,91,10
2396,60-1-d12-1.3.I,92,12
2397,60-1-d12-1.3.I,93,12
2398,60-1-d12-1.3.I,94,10
2399,60-1-d12-1.3.I,95,10
2400,60-1-d12-1.3.I,96,10
2401,60-1-d12-1.3.I,97,10
2402,60-1-d12-1.3.I,98,10
2403,60-1-d12-1.3.I,99,10
2404,60-1-d12-1.3.I,100,10
2405,60-1-d12-1.3.I,101,8
2406,60-1-d12-1.3.I,102,8
2407,60-1-d12-1.3.I,103,8
2408,60-1-d12-1.3.I,104,8
2409,60-1-d12-1.3.I,105,8
2410,60-1-d12-1.3.I,106,8
2411,60-1-d12-1.3.I,107,8
2412,60-1-d12-1.3.I,108,13
2413,60-1-d12-1.3.I,109,11
2414,60-1-d12-1.3.I,110,11
2415,60-1-d12-1.3.I,111,13
2416,60-1-d12-1.3.I,112,13
2417,60-1-d12-1.3.I,113,13
2418,60-1-d12-1.3.I,114,13
2419,60-1-d12-1.3.I,115,13
2420,60-1-d12-1.3.I,116,9
2421,60-1-d12-1.3.I,117,9
2422,60-1-d12-1.3.I,118,9
2423,60-1-d12-1.3.I,119,9
2424,60-1-d12-1.3.I,120,10
2425,60-1-d12-1.3.I,121,10
2426,60-1-d12-1.3.I,122,13
2427,60-1-d12-1.3.I,123,13
2428,60-1-d12-1.3.I,124,13
2429,60-1-d12-1.3.I,125,19
2430,60-1-d12-1.3.I,126,19
2431,60-1-d12-1.3.I,127,18
2432,60-1-d12-1.3.I,128,18
2433,60-1-d12-1.3.I,129,19
2434,60-1-d12-1.3.I,130,19
2435,60-1-d12-1.3.I,131,19
2436,60-1-d12-1.3.I,132,19
2437,60-1-d12-1.3.I,133,19
2438,60-1-d12-1.3.I,134,16
2439,60-1-d12-1.3.I,135,16
2440,60-1-d12-1.3.I,136,15
2441,60-1-d12-1.3.I,137,15
2442,60-1-d12-1.3.I,138,15
2443,60-1-d12-1.3.I,139,11
2444,60-1-d12-1.3.I,140,11
2445,60-1-d12-1.3.I,141,11
2446,60-1-d12-1.3.I,142,11
2447,60-1-d12-1.3.I,143,17
2448,60-1-d12-1.3.I,144,17
2449,60-1-d12-1.3.I,145,15
2450,60-1-d12-1.3.I,146,15
2451,60-1-d12-1.3.I,147,15
2452,60-1-d12-1.3.I,148,20
2453,60-1-d12-1.3.I,149,20
2454,60-1-d12-1.3.I,150,20
2455,60-1-d12-1.3.I,151,20
2456,60-1-d12-1.3.I,152,7
2457,60-1-d12-1.3.I,153,7
2458,60-1-d12-1.3.I,154,7
2459,60-1-d12-1.3.I,155,7
2460,60-1-d12-1.3.I,156,11
2461,60-1-d12-1.3.I,157,11
2462,60-1-d12-1.3.I,158,11
2463,60-1-d12-1.3.I,159,19
2464,60-1-d12-1.3.I,160,19
2465,60-1-d12-1.3.I,161,22
2466,60-1-d12-1.3.I,162,22
2467,60-1-d12-1.3.I,163,22
2468,60-1-d12-1.3.I,164,22
2469,60-1-d12-1.3.I,165,29
2470,60-1-d12-1.3.I,166,29
2471,60-1-d12-1.3.I,167,28
2472,60-1-d12-1.3.I,168,28
2473,60-1-d12-1.3.I,169,28
2474,60-1-d12-1.3.I,170,33
2475,60-1-d12-1.3.I,171,33
2476,60-1-d12-1.3.I,172,42
2477,60-1-d12-1.3.I,173,42
2478,60-1-d12-1.3.I,174,42
2479,60-1-d12-1.3.I,175,44
2480,60-1-d12-1.3.I,176,44
2481,60-1-d12-1.3.I,177,44
2482,60-1-d12-1.3.I,178,44
2483,60-1-d12-1.3.I,179,46
2484,60-1-d12-1.3.I,180,46
2485,60-1-d12-1.3.I,181,46
2486,60-1-d12-1.3.I,182,46
2487,60-1-d12-1.3.I,183,46
2488,60-1-d12-1.3.I,184,46
2489,60-1-d12-1.3.I,185,46
2490,60-1-d12-1.3.I,186,46
2491,60-1-d12-1.3.I,187,46
2492,60-1-d12-1.3.I,188,46
2493,60-1-d12-1.3.I,189,46
2494,60-1-d12-1.3.I,190,46
2495,60-1-d12-1.3.I,191,46
2496,60-1-d12-1.3.I,192,46
2497,60-1-d12-1.3.I,193,46
2498,60-1-d12-1.3.I,194,46
2499,60-1-d12-1.3.I,195,46
2500,60-1-d12-1.3.I,196,52
2501,60-1-d12-1.3.I,197,52
2502,60-1-d12-1.3.I,198,52
2503,60-1-d12-1.3.I,199,52
2504,60-1-d12-1.3.I,200,52
2505,60-1-d12-1.3.I,201,52
2506,60-1-d12-1.3.I,202,52
2507,60-1-d12-1.3.I,203,52
2508,60-1-d12-1.3.I,204,52
2509,60-1-d12-1.3.I,205,51
2510,60-1-d12-1.3.I,206,51
2511,60-1-d12-1.3.I,207,51
2512,60-1-d12-1.3.I,208,51
2513,60-1-d12-1.3.I,209,53
2514,60-1-d12-1.3.I,210,53
2515,60-1-d12-1.3.I,211,53
2516,60-1-d12-1.3.I,212,53
2517,60-1-d12-1.3.I,213,53
2518,60-1-d12-1.3.I,214,53
2519,60-1-d12-1.3.I,215,53
2520,60-1-d12-1.3.I,216,53
2521,60-1-d12-1.3.I,217,54
2522,60-1-d12-1.3.I,218,54
2523,60-1-d12-1.3.I,219,55
2524,60-1-d12-1.3.I,220,55
2525,60-1-d12-1.3.I,221,55
2526,60-1-d12-1.1.O,1,55
2527,60-1-d12-1.1.O,2,55
2528,60-1-d12-1.1.O,3,59
2529,60-1-d12-1.1.O,4,59
2530,60-1-d12-1.1.O,5,58
2531,60-1-d12-1.1.O,6,58
2532,60-1-d12-1.1.O,7,58
2533,60-1-d12-1.1.O,8,54
